,Title,Question,Answer
10,편도결석이 생겨서 면봉으로 뺄려고 하다가 그러다보니 목이 부었고 칼칼해지고 편도결석때문에 목이 요즘 자주 붓는 느낌이에요 편도결석때문에 열이나거나 목이 부울수있나욤?,NA,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이비인후과 전문의 문인희 입니다.​편도에 노란 알갱이가 생기는 경우는1.편도염으로 인한 농전(고름덩어리)혹은 삼출물2.편도결석이 대표적입니다.두가지 모두 편도에 생기지만 치료방침은 다릅니다.​편도염에 의한 편도의 농전은,세균감염에 후 염증반응의 결과로 생긴 것으로,대개 열이 나거나 인후통이 동반되며,이비인후과에 가셔서 바로 치료를 받으시는 것이 좋습니다.​편도결석은 대개 열이 없고,간혹 통증을 일으키는 경우도 있지만 통증보다는 목에서 냄새나는 알갱이가 나오거나 목의 이물감을 일으키는 증상으로 나타나는 경우가 더 많습니다.​편도결석은 심각한 문제가 아니기 때문에,크게 불편하지 않으면,그냥 지내셔도 될 것입니다.집에서 임의로 편도결석을 제거하기 위해 손톱이나 면봉,뾰족한 기구 등으로 편도를 후벼 파는 것은 점막손상을 일으킬 수도 있고 불결하기 때문에 권유되지 않습니다.임시로라도 제거하려면 가까운 이비인후과에 가셔서 흡입기,이어루프,포셉 등으로 제거하실 수 있습니다.​​그러나 편도결석의 근본적인 치료를 원하신다면,근본적인 해결방법은 수술밖에 없습니다.편도결석을 생길 때 마다 빼 낸다 하더라도 편도홈의 구조가 바뀌지 않는 한,편도결석은 계속 생기게 되며,그런 구조를 그대로 둔 상태에서 편도결석을 예방하는 방법이나 안생기게 하는 방법은 없습니다.​편도결석 수술은 편도결석이 생기는 홈부위를 레이저나 고주파 기기를 이용하여 편도 홈 깊이만큼 제거하는‘편도부분절제술’과,편도를 모두 제거하는‘편도완전적출술’이 있습니다.​편도의 면역기능은4-5세경의 소아기 까지는 중요한 역할을 하지만,그 이후에는 다른 면역기관이 활성화되므로,편도가 없어도 면역체계에 전혀 문제가 되지 않습니다.​불편감이 있으면 이비인후과 전문의의 진찰을 받아보시기 바랍니다.​"
11,코끝 수술 후 콧속 점막 불편함,비중격+귀연골로 코끝수술한지 딱 한달 되었습니다.그동안은 안그러더니 최근들어서한쪽 콧속 점막이 숨을 쉴때마다 붙었다가 떨어졌다 하는 느낌이 드는데 왜 그러는건가요?숨이 안쉬어지거나 하지는 않습니다. 다만 코 안에서 점막이 붙었다 떨어졌다 하는 느낌이 느껴져서 숨을 쉬기가 불편해요..ㅠㅠ만약 붓기 때문이라면 좋아질때까지 기다리기만 해야하나요? ㅠ 호흡이 불편하니 일상 생활이 전부 불편합니다.. 치료할수있는 방법이 있나요?,"안녕하세요. 성형외과 전문의 조건 원장입니다.​부기가 빠지면 좀 더 증상이 좋아질 수 있습니다.​다만 점막 유착이 발생하면 증상이 지속될 수 있으니 수술하신 병원에 내원하여 내시경 등을 통해 상태를 확인하시는 게 좋을 것 같습니다.​http://m.cafe.naver.com/cornerroom방구석 성형외과 : 네이버 카페성형에 대해 편하게 질문해 주세요. 성형외과 전문의 조 건이 직접 답변드립니다. <쌍커풀, 코, 이마축소>m.cafe.naver.comhttp://m.blog.naver.com/psdr1130방구석 성형외과 : 네이버 블로그성형외과 전문의 조 건 원장입니다. 성형에 관한 진솔한 이야기를 들려 드립니다. 카페를 개설했습니다. 질문 남겨주시면 직접 답변해드립니다. https://cafe.naver.com/cornerroomm.blog.naver.com성형수술에 대해 제가 직접 개설한 카페입니다.​추가로 궁금한 사항이 있으시면 카페에 질문을 올려주세요.​성심성의껏 답변드리겠습니다. 감사합니다."
12,비중격만곡 수술하면 코골이 사라지나요,남편이 코가 한쪽으로 휘어서 평소에도 숨을 잘 못 쉬고 스트레스를 많이 받습니다..병원에서는 비중격만곡이라고 수술을 권유해주셨는데 아무래도 수술이다보니이래저래 고민이 많이 됩니다…특히 남편이 밤마다 코골이가 너무 심한데 만약 비중격만곡 수술을 하게 되면코골이가 좀 사라질까요?남편은 제가 밤마다 잠을 잘 못자는 걸 알아서 되게 미안해하거든요...만약 수술로 코골이가 사라진다면 바로 수술을 받겠다고 하네요…혹시 비중격만곡 수술을 하면 코골이도 함께 사라질까요?,안녕하세요. 하이닥-네이버 지식iN 상담의 정도광 입니다.​​코골이 원인은 다양합니다. 그 중에서 코막힘으로 인해 코골이가 발생하는 경우도 있습니다.코막힘이 평소 비중격이 휘어져 발생하는 것이라면 이를 치료함으로써 코골이가 완화될 수 있습니다.다만 정확한 원인을 확인하기 위해서는 병원에 내원하셔서 자세한 검사를 받아보시는 것이 좋겠습니다.
13,알러지비염 가족력이 있을까요?,저는 남편하고 강아지 2마리랑 함께 살고 있는데요저는 안 그런데 남편이 약간의 알러지비염이 있습니다증상이 정말 약해서 따로 약을 챙겨먹거나 그러진 않는데엄청 피곤할 때 조금 증상이 나타나거나 하는 정도입니다.근데 제가 이번에 임신을 하게 되어서 내년쯤에 아이가 태어나는데혹시 알러지비염이 가족력이 있는 건지 궁금합니다.아이가 만약에 알러지비염이 있다면 강아지들을 잠시 친정에 맡겨야 하나 싶어서요..알러지비염이 가족력이 있는건지 궁금합니다.,"안녕하세요. 하이닥-네이버 지식iN 상담의 정도광 입니다.​​알러지 비염은 항원물질 외에도 대기오염 물질이나 일교차,스트레스 등에 영향을 받으며, 유전적인 영향도 받습니다.부모 중 한쪽이 질환이 있다면 약 50% 정도, 부모 모두 있는 경우에는약 75% 정도가 생기는 것으로 알려져 있습니다.부모가 질환이 있는 경우에는 아이들에게 좀 더 특별한 주의를 기울여야 합니다.최대한 알러지 항원에 노출되지 않도록 주의하는 것이 중요합니다."
14,콧물후비루 증상 좀 봐주시길,"고3인데요,낮에는 괜찮은데 밤마다 코막힘이 심해서요끈적한 느낌이라 풀어도 상쾌하게 안 풀리고 너무 답답해요검색해보니 콧물후비루 증상이랑 비슷하던데 맞나요?병원 갈 시간이 없는데 아무래도 약을 먹는게 괜찮을까요?큰 병원으로 가야 하는건지 심하면 수술을 해야 하는지 궁금해요",안녕하세요. 하이닥-네이버 지식iN 상담의 이용배 입니다.​​후비루는 코가 목뒤로 넘어가는 증상을 말합니다.코막힘이나 후비루 증상이 있다면 비염이나 축농증 질환을 의심해볼 수 있는데이때 콧물이 누런색깔을 띄고 끈적한 느낌이 있다면축농증을 의심해볼 수 있습니다.정확한 증상의 원인을 확인하기 위해서는 병원에 내원하셔서 검사와 치료상담을 받아보시는 것이 좋겠습니다.
15,코막힘수술 후통증이 있을 수도 있나요,"안녕하세요 코막힘수술 알아보고 있는 사람입니다10년 넘게 항상 코가 막힌 상태로, 답답하고 머리가 아파도 참고 지냈습니다그러다 잠도못 자겠고 피로감이 너무 쌓이길래이건 아니다 싶어서 코막힘수술 알아보고 있어요수술하면 증상은 많이 괜찮아지겠지만 아무래도 수술이다 보니 걱정되는 부분이 많습니다우선, 제가주사도 무서워하는 사람인데 수술에 통증이 있을지 걱정이고요연차를 많이 낼 수 없는 상황이라 빨리 퇴원해야 하는데 당일 수술 후 퇴원 가능한지 궁금합니다그리고 혹시 코막힘수술에도 여러 종류가 있다면 가장 효과가 괜찮은 게 뭔가요?","안녕하세요. 하이닥-네이버 지식iN 상담의 이용배 입니다.​​수술의 종류는 코막힘의 원인이 무엇이냐에 따라 달라집니다.코막힘의 주요원인으로는 축농증, 비염, 비중격만곡증, 코 이물질, 비용종(코물혹) 등이 있습니다.원인에 따라서 치료나 수술방법은 달라지게 됩니다.통증의 경우 개인마다 척도가 다르기 때문에 자세한 상담은 병원에 내원하셔서 받아보시기 바랍니다."
16,부비동코세척 식염수로 하면 되나요?,"며칠간 코가 막혀서 감기인가 싶었는데 코막힘이 나아질 생각을 안합니다검색해보니 부비동염인가 싶은데 부비동코세척으로 코막힘이 나아질 수 있는 걸까요코세척하는 것처럼 식염수로 하면 되는건지, 부비동코세척 방법 궁금합니다그리고 세척으로도 나아지지 않을 경우 어떻게 해야 하나요?","안녕하세요. 하이닥-네이버 지식iN 상담의 이용배 입니다.​코세척방법은 코질환의 예방이나 치료에 도움이 될 수 있는 방법으로코 질환이 없다면 1일 1회, 코질환이 있다면 하루에 아침, 저녁으로 해주시면 도움이 됩니다.가장 중요한 것은 생리식염수를 사용하는 것이며,체온보다 약간 낮게 데운 미지근한 식염수를 코세척기에 넣은 후 사용하게 됩니다.코세척방법은 고개를 숙이고 세척하고자 하는 쪽이 아래로 가도록 얼굴은 살짝 돌려 코로 숨쉬지 않고입으로 숨을 쉬면서 식염수를 천천히 코로 주입하여 다른쪽으로 나오도록 해주시면 됩니다.증상이 계속되신다면 병원에 내원하셔서 약물치료와 병행하심이 좋을 것 같습니다."
17,급성부비동염 치료 방법이 궁금해요,"일주일 전부터 편두통이 심해지고 코가 너무 아프길래 병원에 갔어요평소 비염이 있던지라 비염 때문에그런가 싶었는데 급성부비동염이라고 하시더라구요며칠간 약 먹고도 두통이 계속돼서 약을 바꿔 먹고 있는데, 증상이 나아질 생각을 안해요평일에는 병원에 가기가 힘들어 주말에 가볼 예정인데 급성부비동염 어떻게 치료하나요?그리고 이렇게 두통이 심한 게 흔한 증상인지도 궁금해요",안녕하세요. 하이닥-네이버 지식iN 상담의 이용배 입니다.​​​급성부비동염의 경우 충분한 약물치료만 하여도 증상이 완화되실 수 있습니다.다만 증상이 없어지고 나면 축농증이 다 나았다고 생각하여 임의로 약물 복용을 중단하는 경우가 많은데이는 만성 부비동염을 유발할 수 있기 때문에 처방에 따라 충분한 기간 약물을 복용해주는 것이 중요합니다.부비동염으로 인해 두통이나 부비동 부위에 통증이 나타나기도 합니다.​
18,인조고막에 대한 문의 입니다ㅣ,안녕 하십니까?저는 전년도에 오른쪽귀에 벌레가 들어가서 이비인후과에서 벌레를빼내고 그동안 여러가지 여건으로 병원을 가지 못하여이번에 청각 검사를 하니 거의 들리지 않았습니다.지금까지 왼쪽 귀 하나로  사ㅓㄹ아 왔습니다.아주 희미하게 들립니다. 저 같ㄷ은 사람도 인조 고막으로 당초처럼 귀를 고칠수 있는지요?,"안녕하세요. 하이닥-네이버 지식iN 상담의 유신영 입니다.귀 전문의와 상담을 해보시면 정확하게 아실 수 있는데요..인조고막으로 청력 개선이 가능한 경우는 전음성 난청에 해당하는 경우입니다.난청은 전음성 난청과 감각신경성 난청으로 나뉘어 집니다.양쪽 모두 청력 개선은 가능하지만 전음성 난청은 인조고막이든, 다른 수술이든지 청력 개선술로 청력개선이 가능하고감각신경성 난청은 수술적 처치도 있지만 보청기 같은 기계를 이용해서 잘 들을 수도 있습니다.만약 감각신경성 난청 환자에게 인조고막 수술을 한다면 그건 잘못된 방법이겠지요?이 난청의 종류 및 정도는 귀 전문의와 상의를 하고 간단하고 정확한 청력 검사를 받으시게 되면 금방 알수 있는 내용입니다. 귀전문의와 상담을 해보시길 바랍니다. 감사합니다."
19,귀 연골 사용해서 코수술후 귀파기,"귀 연골 사용해서 코끝 수술 했는데 맨날 귀 파는 버릇이 있다가 못파는중인데 수술 부위 안건들이고 귀 파도 될까요 ,,? 수술한진 11일 됬어용",안녕하세요. 하이닥-네이버 지식iN 상담의 조홍규 입니다.​조심스럽게 하신 다면 해도 되는데 귀를 잡아 당기거나 하면 안됩니다. 꼭 필요한 상황이 아니라면 좀 더 보류하시기 바랍니다.​답변이 도움이 되셨기 바랍니다.
20,귀 속이 부었어요.,한 쪽 귀 속이 부어있는데 손으로 만져보면 뭐가 하나 올라와있는데 이어폰을 오래 끼고있어서 그런 건지귀에 염증이 생긴 건지 모르겠어요. 만지면 아프기고 한데.이어폰을 오래 낀다고 귀가 붓기도 하나요?만약 붓는다면 어떻게 해야 하나요?,​반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  외이도염 관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다.
21,귓구멍 막힘,귀파다가 상처나서 귀에 고름이 있는데 파다가 고름이 때문인지 귀에 물들어간거 처럼 먹먹하고 고개를 젖혀도 계속 먹먹해요,​반갑습니다. 하이닥-네이버 지식iN 상담의사-이비인후과 전문의 최혁기-닥터초이 입니다.영상답변드립니다.감사합니다.  관련해서 더 궁금한 내용은  제 유튜브 채널 '여러분의 닥터초이'를  참고해주시면 좋겠습니다.
